,ic,sc,ppol,nr
2036,8835197428839.035,2948137648655.6416,1529068865.4105165,246751143485.58154
2037,8640138740866.818,2841306411290.357,1523638514.5834522,241825860427.2875
2038,8438005896012.657,2737228611925.098,1512309780.6297562,237129887957.45007
2039,8230261042581.463,2635868615413.5557,1495386047.3065734,232656045846.7188
2040,8018190529561.288,2537214696289.944,1473280830.8404086,228398398653.02155
2041,7803064652554.495,2441273912819.585,1446491191.1570468,224349817447.6046
2042,7586182108030.479,2348064312514.8315,1415570334.0882308,220501364981.8859
2043,7368727123561.245,2257608382076.2095,1381101695.3636744,216844028715.93277
2044,7151745450389.21,2169928448684.7065,1343675816.6922092,213368975376.76663
2045,6936139908841.386,2085043172503.1033,1303870831.39718,210067688673.53714
2046,6722588535097.175,2002964229009.3445,1262236900.1780143,206931593262.81516
2047,6511560607465.031,1923692437494.1306,1219284533.443408,203952294247.43143
2048,6303527734191.38,1847215702652.212,1175476546.468349,201121719845.51407
2049,6098913522597.238,1773511406423.7695,1131223317.5969229,198432125962.5672
2050,5897344752120.028,1702547625421.6116,1086881156.1929324,195876105371.27316
2051,5698044615333.7705,1634269917700.9849,1042753435.4767118,193446895775.12045
2052,5501955952957.79,1568598869780.359,999093668.1386063,191138493666.5231
2053,5309435465579.506,1505466192800.0542,956109782.744822,188944909674.5247
2054,5120746869109.666,1444803416370.1797,913970310.1311293,186860399291.49112
2055,4936110335880.433,1386541002257.844,872812331.4474192,184879478553.18362
2056,4755702060330.504,1330610803681.3933,832746998.0833495,182996918928.47742
2057,4579666335142.796,1276943573960.8865,793863168.2184801,181207744176.20108
2058,4408116678781.844,1225469258352.7847,756229905.609536,179507219516.6162
2059,4241136391468.003,1176117277926.5564,719898379.6300592,177890865956.15228
2060,4078743904002.4824,1128818963933.1108,684903514.2053941,176354837714.78394
2061,3920959087615.472,1083503550253.2886,651265568.8486623,174895235008.147
2062,3767793762581.6787,1040099831781.1332,618991729.6796081,173508262525.54443
2063,3619246958901.8945,998536717942.668,588077696.4184921,172190285609.2891
2064,3475315848742.9526,958741127090.3135,558509256.3635385,170937784337.55743
2065,3335981444481.6113,920642284397.0826,530263847.5661428,169747399207.11145
2066,3201202604095.614,884171633423.4829,503312077.6778312,168615936154.77573
2067,3070931549351.121,849262459417.7809,477619157.50692314,167540348450.72644
2068,2945115322327.588,815849800881.4707,453146214.1931337,166517698187.75165
2069,2823665189171.9824,783873815670.8577,429851446.2983394,165545417022.69556
2070,2706492953348.622,753275391228.8389,407691130.3796543,164621009235.8854
2071,2593512100260.2095,723996369587.8793,386620474.63067764,163742049866.77795
2072,2484631756246.771,695980254979.6448,366594306.8484657,162906240949.30392
2073,2379757070196.041,669172297205.6589,347567613.10976887,162111404726.0375
2074,2278781218177.713,643520100343.1136,329495957.44113696,161355562503.7603
2075,2181591598675.2856,618973241662.2228,312335803.7962236,160636871988.78455
2076,2088083801486.9814,595483466108.4786,296044755.2142249,159953461441.95538
2077,1998154970002.3657,573003792067.1512,280581718.21010697,159303554357.48776
2078,1911702480773.316,551488708312.2252,265907003.08452523,158685465525.13428
2079,1828623763134.621,530894276428.07117,251982386.2885181,158097597257.62656
2080,1748814881308.1694,511178725446.0526,238771154.83230993,157538435329.3222
2081,1672172650339.266,492301849952.74976,226238131.50520843,157006545323.8171
2082,1598598112633.8328,474223849476.03516,214349679.5840556,156500568490.76773
2083,1527992472839.84,456906728784.8308,203073688.39207548,156019217193.46823
2084,1460257768059.5798,440314233915.793,192379544.5663018,155561270806.60907
2085,1395298820234.6306,424411249999.4079,182238091.84835115,155125571843.92972
2086,1332910476019.1833,409169242093.9575,172621578.52220026,154712082928.5029
2087,1272926360020.5576,394557084132.6069,163503597.67641777,154320522707.55945
2088,1215241509613.099,380541532278.593,154859024.92315495,153950155386.07587
2089,1159779790299.466,367090096800.8724,146663883.2877857,153600063309.8712
2090,1106478836362.0227,354172082840.1173,138895164.80724376,153269260516.60602
2091,1055282483362.6179,341758904992.82117,131530700.89984567,152956748284.89047
2092,1006136877359.9866,329824093337.2926,124631558.02857333,152661544436.77997
2093,958988525928.7306,318343171351.11816,118173465.808495,152382698994.01028
2094,913783338899.7754,307293488560.5096,112080910.5445019,152119302209.50943
2095,870466356293.6096,296654044588.359,106308047.1531703,151870488218.3746
2096,828981811301.3042,286405324572.46967,100824848.88527142,151635436074.8129
2097,789275034501.1815,276528604015.4731,95609874.76989163,151413369315.37576
2098,751289846455.6439,267006680999.71005,90646489.1889593,151203555580.80804
2099,714969406082.0922,257823512785.15512,85920878.55036882,151005305149.33084
2100,680256870770.6659,248964085399.09558,81421001.14192627,150817968542.5287
